Name,AccountId,IsPrivate,Description,StageName,Amount,TotalOpportunityQuantity,CloseDate,Type,NextStep,LeadSource,ForecastCategoryName,CampaignId,Pricebook2Id,SyncedQuoteId,ContractId,AI_Countries_Benefited_Copy__c,AI_Account_Role__c,AI_Administrative_Unit__c,AI_and_Machine_Learning__c,Loss_Reason_Picklist__c,AI_Role__c,Augmented_Virtual_Reality__c,Biotech__c,Blockchain__c,Topics__c,Connectivity__c,Countries_Involved__c,Country_Strategy_Priority__c,Is_Minute_Complete__c,ORP_ActualSignatureDate__c,External_Collaboration_Co_Financing__c,ORP_AmountInOriginalCurrency__c,Focus_Area__c,ICT_and_Big_Data__c,ORP_CRFReporting__c,ORP_Complexity__c,AI_Area__c,Intelligent_Location_Services__c,Multisector__c,Opportunity_Iniciators__c,Opportunity_Source__c,Other_IDB_Product_Related__c,ORP_DocumentTitle__c,ORP_Innovation__c,ORP_InnovativeFinance__c,ORP_Leverage__c,ORP_Maintenance__c,Quantum_Computing__c,Referred_Institution__c,ORP_OperationFocus__c,Robotics__c,Sector_Global__c,ORP_OriginalCurrency__c,Shared__c,Subsector_Global__c,X3D_Printing__c,Eligible_Pitch__c,ORP_Pipeline_Year__c,ORP_Potential__c,AI_Sub_Area__c,AI_Technology__c,ORP_PressRelease__c,Other__c,AI5Q_pdf_related__c,Loss_Reason__c,Country_Benefited__c,Beneficiary_Type__c,IDB_Lab_Amount__c,Instrument__c,Instrument_Type__c,Is5QCreated__c,Is5Qcomplete__c,Initiative__c,ORP_Reimbursable_NonReimbursable__c,ORP_Relevance__c,ORP_SGO_NSG__c,ORP_Country_Benefited__c,ORP_Id__c,ORP_Recipient_Fund__c,Is_Public_Pitch_Complete__c,DB_Competitor__c,Minute_Completion_Date__c,PSR_AreaSubAreaJustification__c,PSR_BeneficiaryTypeJustification__c,PSR_TypeOfFunds__c,PSR_TypeOfSession__c,Pitch_ID__c,Preliminary_ESG__c,Previous_Pitch_ID__c,Additional_Tags__c,SDG__c,Errors
MARPOL for the Blue Economy: The Caribbean’s First Marine Waste Reception and Processing Facility,,false,"Co-finance the expansion of a processing facility in Freeport, Grand Bahama that will utilize new and innovative patented technology to break oil and water emulsions and process contaminated water from ocean liners and cruise ships. With a capacity to process in excess of 50 million gallons of waste from cruise ships and other commercial vessels every year, the facility will now be expanded to receive up to 200 million gallons per annum. Grant resources are financing public goods activities.",Closed Lost,3615000,,2019-07-30,Project,,,Omitted,,,,,BS,,,false,,,false,false,false,Water and Sanitation;,false,,,false,,,,,false,,,Inclusive Cities,false,,IDB LAB,Calls / Competitions,,,,,,,false,,,false,Water and Sanitation,,,,false,,,,Urban Services Transformation,,,false,,Source v1.1 migration,BS,Indigenous;Rural;Urban/periurban,1776000,,Loan;Grant - Non Reimbursable Technical Cooperation,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Inclusive Cities:AI_Area__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Calls / Competitions:Opportunity_Source__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Grant - Non Reimbursable Technical Cooperation:Instrument_Type__c --
Ecosistema Digital de Conocimiento Biomédico 4.0,,false,,Closed Lost,,,2019-09-30,Project,,,Omitted,,,,,CR,,,false,,,false,false,false,Health;,false,,,false,,,,,false,,,,false,,IDB LAB,External Meeting,,,,,,,false,,,false,Health,,,,false,,,,,,,false,,,CR,Urban/periurban,,,Equity,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Equity:Instrument_Type__c --
Programa de Apoyo a Estados y Municipios,0012200000VBkS3AAL,false,UCEF solicita apoyo a FMM para preparar tecnicamente un programa de apoyo a Estados para mejorar su sostenibilidad fiscal y promover el crecimiento económico regional,Closed Lost,250000,,2019-12-18,Collaboration,,,Omitted,,,,,MX,Administrator,,false,,,false,false,false,Reform / Modernization of the State;,false,,Medium,false,,,,,false,,,,false,,IDB,External Meeting,,,,,,,false,,,false,Reform / Modernization of the State,,,Decentralization & Intergovernmental Relations,false,,,,,,,false,,,MX,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Apoyo a reforma a la gestión fiscal municipal,0012200000VBkS3AAL,false,UCEF solicita apoyo técnico para reflexionar sobre aspectos de la gestión del impuesto predial y de la administración catastral a nivel municipal en México y las acciones necesarias de política para reformar y de fortalecimiento institucional para incrementar la capacidad de gestion de los municipios,In Progress,0,,2020-03-14,Collaboration,,,Pipeline,,,,,MX,Administrator,,false,,,false,false,false,Reform / Modernization of the State;,false,,,false,,,,,false,,,,false,,IDB,External Meeting,,,,,,,false,,,false,Reform / Modernization of the State,,,Decentralization & Intergovernmental Relations,false,,,,,,,false,,,MX,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Apoyo técnico para la implementación de Data Lab en el SAT,0012200000VBkSpAAL,false,"Con esta Cooperación Técnica se apoyará al Servicio de Administración Tributaria (SAT) con asistencia técnica directa y con recursos para el diseño e implementacion de un laboratorio de datos para la gestión de riesgos tributarios. El objetivo de la CT es apoyar al SAT de México en su proceso de transformación digital, con el objetivo de incrementar la recaudación tributaria. El objetivo específico es apoyar la puesta en funcionamiento de un laboratorio de datos (DataLab) dentro del SAT, a fin de propiciar el desarrollo de metodologías, aplicativos y soluciones digitales innovadoras que apoyen las tareas de gestión de riesgos y potencien el uso de la información disponible en la agencia tributaria para fines recaudatorios.",Closed Won,150000,,2019-08-29,Technical Cooperation,,,Closed,,,,,MX,Administrator,,false,,,false,false,false,Reform / Modernization of the State;,false,,High,false,,No aplica,,,false,,,,false,,IDB,External Meeting,No aplica,,,,,,false,,,false,Reform / Modernization of the State,,,Revenue Administration,false,,,,,,,false,,No aplica,MX,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Intervención: mejorando el pipeline de docentes usando economía del comportamiento,0012200000VBkXYAA1,false,"A partir del trabajo colaborativo que se viene realizando con Elige Educar en los temas de docentes (se han realizado eventos conjuntos y en la actualidad se está desarrollando un estudio usando economía del comportamiento para disminuir el déficit docente en Chile a través de mejorar el pipeline de docentes), surgió la posibilidad de postular conjuntamente para fondos del ECD Fund con un proyecto específicamente dirigido a futuros docentes de educación parvularia y que además de incorporar estrategias de economía del comportamiento incopore intervenciones apoyadas por machine learning (ML) e inteligencia artificial (AI).

El pitch del proyecto fue presentado al ECD Fund  (fondo competitivo del BID que recibe propuestas internas y externas al Banco) el 24 de mayo de 2019 y pasó la primera fase de selección.  El  26 de julio de 2019 se presentó la propuesta completa al Fondo, y se espera que los resultados  del proceso de selección estén disponibles a mediados de septiembre.  

Si la propuesta es seleccionada para financiamiento por el ECD Fund, se deberá desarrollar un documento  de cooperación técnica siguiendo los procesos del Banco. 

El proyecto cuenta con el apoyo del CPEIP (área del MINEDUC encargada de temas docentes), el DEMRE, y el CNED.

Actualizacion a octubre 2019:  si bien la propuesta pasó la primera fase de aprobación, pero en la segunda fase de aprobacion el Comité de selección decidió no asignar fondos a esta oportunidad.  A partir de esa decisión, el equipo está desarrollando un piloto del estudio (con foco en docentes en general, no solo de educacion parvularia) durante el segundo semestre de 2019. Se espera tener los resultados para febrero 2020.  Este piloto apoyará la búsqueda adicional de fondos a través de otros donantes.

Actualización a junio 2020: la entrega de resultados experimentó retrasos debido al estallido social de octubre 2019 y la pandemia del covid-19.Ambos eventos afectaron la rendición de la prueba de admisión universitaria, entrega de resultados y postulaciones a las universidades y CFTs. Una vez que estén disponibles los resultados, dicho informe será utilizados para apoyar la búsqueda de fondos a través de otros donantes",Closed Won,,,2020-04-30,Knowledge Product,,,Closed,,,,,CL,Administrator,Education Division,false,,Responsible,false,false,false,Education;,false,,,false,,Elige Educar,,,false,,,,false,,IDB,IDB Group Event,Paper,,,,,,false,,,false,Education,,,Teacher Education & Effectiveness,false,,,,,,,false,,,CL,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Futuro del trabajo: Conectando oportunidades en un mundo digital,0012200000VBkVzAAL,false,"Esta operación permitiría que el Banco acompañe el proceso de modernización laboral y definición de una hoja de ruta para mejorar la empleabilidad de las personas en Chile, creando la institucionalidad necesaria para contar con esta ruta articulada de principio a fin, al mismo tiempo que busca potenciar iniciativas existentes (Talento Digital, BNE, Reconversión laboral) y apoyar la creación de herramientas aún no disponibles, como el GPS del empleo. La propuesta trae valor en tres dimensiones: (1) apoyar el desarrollo de estudios para complementar propuestas de ley, como por ejemplo el análisis de oferta y demanda potencial de salas cuna, para identificar brechas de cobertura a nivel territorial; (2) asegurar la integralidad de las intervenciones en curso o planificadas, con el objeto de evitar duplicaciones y garantizar interoperabilidad de programas y plataformas, como por ejemplo entre la BNE, la Plataforma de Talento Digital, y el posible mapa del empleo; y (3) aportar la experiencia regional sobre ciencia de datos (adaptación de motores de inteligencia artificial a la medida del país, ética de datos), así como los aprendizajes en trabajos con socios como LinkedIn, Google, o Fundación Telefónica. En ausencia del PBL, existe el riesgo que las iniciativas avancen de manera aislada, sin conformar una ruta articulada de empleabilidad, creando duplicaciones en vez de potenciarse entre sí, con riesgos de gobernabilidad y sostenibilidad futuras; y la asistencia del BID se concentraría en el mapa del empleo, en asociación con Fundación Telefónica y BID LAB.",Closed Lost,,,2024-08-31,Technical Cooperation,,,Omitted,,,,,CL,Administrator,Labor Markets Division,false,,Responsible,false,false,false,Social Investment;,false,,High,false,,,,,false,,,,false,,Shared,Other,CH-T1209; CH-T1232,,,,,,false,0012200000VBjRrAAL,,false,Social Investment,,IDB;IDB Lab,Labor Policy,false,,,,,,,false,,El Ministerio decidió pedir solo asistencia técnica. La CT del BID LAB CH-T1232 no pudo firmarse y se convirtió en otor proyecto. De todos modos se sigue trabajando en una agenda que se espera resulte en una nueva operación en 2022. Se creará oportunidad nueva.,CL,,,,,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Other:Opportunity_Source__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Other:Opportunity_Source__c --
Programa de Provisión de Servicios Sostenibles en Isla de Pascua - Rapa Nui,0012200000VBkcrAAD,false,"Es preciso mejorar la eficiencia, confiabilidad y sostenibilidad de la provisión de servicios en Isla de Pascua – Rapa Nui, a través del fortalecimiento de la empresa prestadora SASIPA y la inversión en infraestructura sostenible, con consideraciones de cambio climático y género. Actualmente, SASIPA realiza la generación de energía eléctrica a través de equipos diésel, que utiliza combustible subsidiado por el gobierno central. Se estiman ahorros de alrededor de US$ 7 millones en 4 años por el recambio a energías renovables contemplado en este programa. El programa contempla inversión en fortalecimiento de la capacidad institucional, e inversión en energía renovable, almacenamiento de gas y redes de distribución de energía y agua potable.",In Progress,30000000,,2025-08-16,Loans,,,Pipeline,,,,,CL,Administrator,,false,,,false,false,false,Social Investment;,false,,High,false,,,,,false,,,,false,Energy;Urban Development and Housing;Water and Sanitation,IDB,Existing Operation,,,,,,,false,,,false,Social Investment,,,,false,,,,,,,false,,,CL,,,,,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Energy:Multisector__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Urban Development and Housing:Multisector__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Water and Sanitation:Multisector__c --
PBL de apoyo a Agenda de Integridad y Transparencia,0012200000VBkWUAA1,false,"El gobierno del Presidente Piñera ha asumido, como una oportunidad, el hecho que las agendas pasadas (en general desarrolladas como reacción a crisis institucionales causadas por casos emblemáticos de corrupción), han sentado una base sólida para que, no reportándose ahora situación de crisis, permiten avanzar con una nueva “Agenda de Integridad, Probidad y Transparencia”, como una política de Estado. La Agenda que se propone posee 3 ejes estructurantes: (i) política de datos; (ii) transparencia y (iii) cultura de integridad y probidad, en torno a 10 medidas legislativas y 13 medidas administrativas que el Banco podría acompañar en su diseño y gradual implementación. Desde el BID, también acompañamos con una línea programática la reforma anterior en esta materia.",Closed Won,0,,2020-09-30,Loans,,,Closed,,,,,CL,Administrator,Innovation in Citizen Services Division,false,,Responsible,false,false,false,Reform / Modernization of the State;,false,,Medium,false,,,,,false,,,,false,,IDB,Existing Operation,,,,,,,false,,,false,Reform / Modernization of the State,,,Transparency and Anti-Corruption,false,,,,,,,false,,,CL,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
PBL de apoyo a mejora regulatoria,0012200000VBjRjAAL,false,"El Estudio de Política Regulatoria de la OCDE del 2016 señala que la falta de un programa de reforma regulatoria integral puede reducir las posibilidades para mejores resultados económicos en Chile. El país ocupa el lugar 78 de 140 en el Subindicador de Carga de la Regulación Gubernamental del Índice de Competitividad Global 2018 del Foro Económico Mundial. Además, Chile, según la Base de datos de Product Market Regulation de la OCDE, es el país OCDE con mayor complejidad de los procedimientos regulatorios. Recientemente, el Gobierno de Chile ha lanzado una agenda de simplificación regulatoria para impulsar la productividad del país. Así pues, el Poder Ejecutivo ha enviado al Congreso de la República un proyecto de ley que deroga 100 leyes que han sido tácitamente eliminadas, resultan inaplicables o están en desuso u obsoletas.

El BID se ha posicionado como un aliado de Chile a través de un diálogo técnico en el marco de los Encuentros de la Red Iberoamericana y del Caribe de Mejora Regulatoria sobre las Buenas prácticas internacionales en materia de mejora regulatoria. Recientemente, a este diálogo se ha incorporado el Ministerio de Economía, Fomento y Turismo. El Banco es reconocido por su apoyo a las reformas regulatorias en la región. Esta experiencia incluye el diseño y ejecución de préstamos, generación y diseminación de conocimiento y asistencia técnica, y el apoyo a la creación y funcionamiento de la Red Iberoamericana de Mejora Regulatoria. El BID puede apoyar esas políticas a través de asistencia, técnica financiamiento de productos específicos, y sobre todo de un PBL que reconozca y promueva medidas que fortalezcan la gobernanza y las capacidades institucionales para el manejo del flujo y del stock regulatorios.",In Progress,,,2020-09-30,Loans,,,Pipeline,,,,,CL,Administrator,,false,,,false,false,false,Reform / Modernization of the State;,false,,Medium,false,,,,,false,,,,false,Reform / Modernization of the State;Science and Technology,IDB,IDB Group Event,,,,,,,false,,,false,Reform / Modernization of the State,,,,false,,,,,,,false,,,CL,,,,,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Reform / Modernization of the State:Multisector__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Science and Technology:Multisector__c --
silver economy,0012200000VBjNIAA1,false,,Closed Lost,,,2020-01-31,Project,,,Omitted,,,,,CL,,,false,,,false,false,false,Private Firms and SME Development;,false,,,false,,,,,false,,,Inclusive Cities,false,,IDB LAB,External Meeting,,,,,,,false,,,false,Private Firms and SME Development,,,,false,,,,,,,false,,,CL,Poor/vulnerable/low income;Urban/periurban,,,,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Inclusive Cities:AI_Area__c --
IDEATE Pitch IDB lab de INE/MGH,0012200000VBkcsAAD,false,"Identificacion de piloto tecnologico para implementacion/escalabilidad.

TEMA: Sensores para la veeudría comunitaria y entidad municipal en el marco del Proyecto Minero",Closed Lost,150000,,2019-11-06,Technical Cooperation,,,Omitted,,,,,CL,Administrator,,false,,,false,false,false,Industry;,false,,Low,false,,,,,false,,,,false,,,,,,,,,,false,,,false,Industry,,,,false,,,,,,,false,,No elegible para BID-LAB,CL,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
PEFA CDMX,0012200000VBkdAAAT,false,Ejercicio mPEFA a ser realizado en la Secretaria de Finanzas de la CDMX,In Progress,60000,,2020-02-29,Collaboration,,,Pipeline,,,,,MX,Administrator,,false,,,false,false,false,Transport;,false,,Medium,false,,,,,false,,,,false,Reform / Modernization of the State;Social Investment,,External Meeting,,,,,,,false,,,false,Transport,,,,false,,,,,,,false,,,MX,,,,,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Reform / Modernization of the State:Multisector__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Social Investment:Multisector__c --
Calefaccion Distrital con Geotermia,0012200000VBkVyAAL,false,"El objetivo del proyecto sería la contratación de estudios para el análisis de la información, prefactibilidad técnica y económica, y los impactos medioambientales para el desarrollo de proyectos de calefacción distrital con uso de tecnología geotérmica.",Closed Won,400000,,2020-05-13,Technical Cooperation,,,Closed,,,,,CL,Administrator,Infrastructure and Energy Sector,false,,Responsible,false,false,false,Energy;,false,,High,false,,,,,false,,,,false,,IDB,Existing Operation,,,,,,,false,,,false,Energy,,,Energy Efficiency and Renewable Energy In End Use,false,,,,,,,false,,,CL,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Programa Mujeres Lideres en el Sector Extractivo,0012200000VBkWeAAL,false,Apoyo para la implementacion del programa de mujeres lideres en el sector extractivo en Chile,Closed Won,150000,,2019-10-02,Technical Cooperation,,,Closed,,,,,CL,Administrator,,false,,,false,false,false,Industry;,false,,High,false,,,,,false,,,,false,,IDB,Existing Operation,Cooperacion Tecnica,,,,,,false,,,false,Industry,,,,false,,,,,,,false,,,CL,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Tequila Inteligente,0012200000VBkdDAAT,false,Montarnos sobre un proyecto de FOMIN. De la ruta del Tequila desarrollar proyectos multisectoriales.,Initiation,,,2021-08-23,Technical Cooperation,,,Pipeline,,,,,MX,Administrator,,false,,,false,false,false,Transport;,false,,Medium,false,,,,,false,,,,false,Energy;Environment and Natural Disasters;Health;Sustainable Tourism;Transport;Water and Sanitation,IDB LAB,Other,,,,,,,false,,,false,Transport,,,,false,,,,,,,false,,,MX,,,,,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Other:Opportunity_Source__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Other:Opportunity_Source__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Energy:Multisector__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Environment and Natural Disasters:Multisector__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Health:Multisector__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Sustainable Tourism:Multisector__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Transport:Multisector__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Water and Sanitation:Multisector__c --
Avanzo Fintech,,false,"Créditos al instantes / Primer cupo de crédito rotativo con descuento de nómina.
No se están analizando nuevos proyectos de Fintech porque hay  uno desarrollandose en Colombia muy parecido.",Closed Lost,,,2019-03-20,Project,,,Omitted,,,,,CO,,,false,,,false,false,false,Financial Markets;,false,,,false,,,,,false,,,,false,,,,,,,,,,false,,,false,Financial Markets,,,,false,,,,,,,false,,Source v1.1 migration,CO,Urban/periurban,,,Equity,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Equity:Instrument_Type__c --
Inversion en Health,,false,"Health.
El equipo  (Choe Gyong, Micaela Cordero , Martha Muñoz) no vio como buen fit en el momento",Closed Lost,10000000,,2019-03-19,Project,,,Omitted,,,,,CO,,,false,Other,,false,false,false,Health;,false,,,false,,,,,false,,,,false,,,,,,,,,,false,,,false,Health,,,,false,,,,,,,false,,Source v1.1 migration,CO,Poor/vulnerable/low income,1000000,,Equity,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Equity:Instrument_Type__c --
Inversión en Soundwallkrs,,false,"App para expandir turismo cultural  a través de  dar vida a puntos específicos en las ciudades o zonas rurales tales como museos, plazas, sitios históricos con riqueza cultural.
El equipo (fernando Campero, Martha Muñoz) determino que no tiene prioridad frente a otras propuestas con mayor potencial y con mayor ajuste a nuestra misión",Closed Lost,2000000,,2019-04-19,Project,,,Omitted,,,,,CO,,,false,Other,,false,false,false,Sustainable Tourism;,false,,,false,,,,,false,,,Inclusive Cities,false,,IDB LAB,Other,,,,,,,false,,,false,Sustainable Tourism,,,,false,,,,Orange Economy,,,false,,Source v1.1 migration,CO,Urban/periurban,600000,,Equity,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Other:Opportunity_Source__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Inclusive Cities:AI_Area__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Other:Opportunity_Source__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Equity:Instrument_Type__c --
Inversión en Betriax,0012200000VBkdFAAT,false,"Solución (prototipo) para que las empresas de América Latina (MIPyMEs) dejen de perder en el cambio de moneda. La propuesta es básicamente crear un mercado eficiente, transparente y equitativo para que no se generen las distorsiones (efectos no deseados) de los mercados financieros tradicionales y para inducir a las empresas a formalizar este tipo de transacción a través de la banca. 
El equipo 9fernando Campero, Martha Muñoz) determino que no se  ajusta a la misión. Se tratará de conectar con algun Fondo. Quedamos en contacto para avances y para posible  estudio sobre impacto",Closed Lost,,,2019-05-02,Project,,,Omitted,,,,,,,,false,,,false,false,false,Financial Markets;,false,,,false,,,,,false,,,Knowledge Economy,false,,IDB LAB,,,,,,,,false,,,false,Financial Markets,,,,false,,,,Knowledge-intensive Startups,,,false,,Source v1.1 migration,,Urban/periurban,,,Equity,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Knowledge Economy:AI_Area__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Equity:Instrument_Type__c --
Inversión En FinnovaFintech,,false,"Plataforma de crowdfunding inmobiliario 
No se avanza porque no está en operación, está  todavia en desarollo, no tiene  licencia.",Closed Lost,600000,,2019-05-14,Project,,,Omitted,,,,,CO,,,false,,,false,false,false,Urban Development and Housing;,false,,,false,,,,,false,,,Knowledge Economy,false,,IDB LAB,External Meeting,,,,,,,false,,,false,Urban Development and Housing,,,,false,,,,Knowledge-intensive Startups,,,false,,Source v1.1 migration,CO,Urban/periurban,1000000,,Equity,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Knowledge Economy:AI_Area__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Equity:Instrument_Type__c --
Inversión en MUY,,false,"Delivery de almuerzos saludables. El equipo (Carmen Mosquera, Martha Muñoz) determina que no se selecciona para un apoyo de capital, puesto que no llega  directamente al perfil de beneficiarios que queremos llegar dado nuestros objetivos misionales (población de la última milla).",Closed Lost,4000000,,2019-05-14,Project,,,Omitted,,,,,CO,,,false,,,false,false,false,Health;,false,,,false,,,,,false,,,,false,,,,,,,,,,false,,,false,Health,,,,false,,,,,,,false,,Source v1.1 migration,CO,Rural,500000,,Equity,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Equity:Instrument_Type__c --
Inversión en CIVICO,,false,"Civic es una compañía digital que lleva 6 años de operación en Bogotá, Santiago y México, operando como un market place, conectando a los ciudadanos con la ciudad, mapeando información de transacciones, entre consumidores, comercios y gobierno. Alrededor de 4 millones de usuarios están entrando a consultar, y cuentan con 6.000 comercios conectados.
El equipo  (Martha Muñoz y Choe Gyong) considera que e un análisis  vemos en primer lugar que al enfocarse ahora en el tema de inclusión financiera, nosotros hemos tenido varios proyectos aquí en Colombia en este campo y además el de MOVII y el de SEMPLI recientemente tienen en términos generales los mismos objetivos, especialmente el de MOVII.  En segundo lugar si vemos que tienen experiencia en el tema de market place, pero no en el tema Fintech, y esto  nos preocupa.  Se contacto con el Fondo Angel Ventures",Closed Lost,3500000,,2019-05-17,Project,,,Omitted,,,,,CO,,,false,,,false,false,false,Social Investment;,false,,,false,,,,,false,,,Knowledge Economy,false,,,Other,,,,,,,false,,,false,Social Investment,,,,false,,,,Knowledge-intensive Startups,,,false,,Source v1.1 migration,CO,,500000,,Equity,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Other:Opportunity_Source__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Knowledge Economy:AI_Area__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Other:Opportunity_Source__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Equity:Instrument_Type__c --
Inversion en POWWI,,false,"Financiamiento Sedpe Pagos GDE e inclusión financiera a través de mecanismos de ahorro grupal
Después de analizar nuestros prospectos, vemos que es un tema que recientemente ya hemos abordado, y  por ello no lo vemos como una oportunidad en este momento.",Closed Lost,,,2019-05-22,Project,,,Omitted,,,,,,,,false,Other,,false,false,false,Financial Markets;,false,,,false,,,,,false,,,Knowledge Economy,false,,IDB LAB,Other,,,,,,,false,,,false,Financial Markets,,,,false,,,,Knowledge-intensive Startups,,,false,,Source v1.1 migration,,,,,,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Other:Opportunity_Source__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Knowledge Economy:AI_Area__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Other:Opportunity_Source__c --
