PSR_Milestone_ID__c,Name,PSR_Description__c,PSR_Due_Day__c,PSR_Means_of_verification__c,PSR_Milestone_Code__c,PSR_Responsible__c,PSR_Type__c,PSR_Value__c,Due_Day_Help_On_New__c,Errors
ES-M1055ML4,Firmadas cartas acuerdo con instituciones públicas y privadas  para apoyo en asi,"Firmadas cartas acuerdo con instituciones públicas y privadas  para apoyo en asistencia técnica, insumos y/o recursos financieros",242,"Cartas acuerdo, fotografías",,Project Coordinator,Active,3,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
ES-M1055ML5,"Diseñada y  aplicando las guias de procesos operativos, procedimientos e Impleme","Diseñada y  aplicando las guias de procesos operativos, procedimientos e Implementado sistema contable",308,Guias aprobadas,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
ES-M1055ML6,Elaborada e implementada herramienta para medición de riesgo crediticio,Elaborada e implementada herramienta para medición de riesgo crediticio,330,Informe de herramienta validada,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
ES-M1055ML7,Sistema de alerta automatizado funcionando y testeado con jóvenes emprendedores,Sistema de alerta automatizado funcionando y testeado con jóvenes emprendedores y grupos de pequeños agricultores.,330,Informe final de diseño de herramientas de supervisión de créditos,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
ES-M1055ML8,Finalizado Sondeo de Inteligencia de mercado,Finalizado Sondeo de Inteligencia de mercado,308,"Bitácoras de campo, informe de testeo de herramientas",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
ES-M1055ML9,Finalizado estudio de mercado y linea base  en 4 departamentos,Finalizado estudio de mercado y linea base  en 4 departamentos,308,Informe final  de Estudio de Mercado,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
ES-S1018ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
ES-S1018ML2,Empresa  de Rating Contratada,Empresa  de Rating Contratada,210,Contrato Firmado,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
ES-S1018ML3,Primer Plan de Mejora elaborado a partir de los resultados del Rating Crediticio,Primer Plan de Mejora elaborado a partir de los resultados del Rating Crediticio,300,Plan de Mejora aprobado por Gerencia OEF,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
ES-S1019ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
ES-S1019ML2,Numero de Productos de ahorro programado y ahorro a la vista diseñados,Numero de Productos de ahorro programado y ahorro a la vista diseñados,274,Informes de consultorías aprobados por Credicampo,,Project Coordinator,Active,2,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
ES-S1019ML3,Auditoría de sistemas informáticos completada,Auditoría de sistemas informáticos completada,274,Informe del auditor,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
ES-S1019ML4,Completada la programación y prueba del Módulo de ahorros en el sistema SIFCA,Completada la programación y prueba del Módulo de ahorros en el sistema SIFCA,365,Informe del área de sistemas,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
ES-S1019ML5,Plan de Capacitación de líderes jóvenes,Plan de Capacitación de líderes jóvenes,457,Documento del plan de capacitación aprobado,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
ES-S1019ML6,Estudio de mercado para nueva agencia completado,Estudio de mercado para nueva agencia completado,457,Informe del estudio de mercado aprobado por Credicampo,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
ES-S1019ML7,Informe de capacitación a la junta directiva completado,Informe de capacitación a la junta directiva completado,548,Informe de capacitación Junta Directiva,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
ES-S1019ML8,Plan de sucesión completado,Plan de sucesión completado,548,Plan de sucesión aprobado por la Junta Directiva,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
GU-M1057ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
GU-M1057ML2,Investigación de Mercado en Guatemala y Estados Unidos,Investigación de Mercado en Guatemala y Estados Unidos,365,Informes finales de consultorías,,Project Coordinator,Active,2,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
GU-M1057ML3,Estandarización y parametrización de productos desarrollados.,Estandarización y parametrización de productos desarrollados.,548,Acta de aprobación final por Comité de Estandarización de MICOOPE,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
GU-M1057ML4,Diseño de Campaña de promoción masiva de productos desarrollados.,Diseño de Campaña de promoción masiva de productos desarrollados.,731,Informe final de la consultoría y Acta de aprobación por el Comité de Estandarización de MICOOPE,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
GU-M1059ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
GU-M1059ML2,Diseño de la Metodología de Crédito aprobada por FENACOAC,Diseño de la Metodología de Crédito aprobada por FENACOAC,274,"Manual de crédito y Plan Piloto de implementación,aprobación del Concejo de Coordinación del proyecto y acta de aprobación FENACOAC",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
GU-M1059ML3,Diseño del nuevo modelo de apoyo en gestión comercial de ANACAFE a caficultores,Diseño del nuevo modelo de apoyo en gestión comercial de ANACAFE a caficultores,274,Acta de aprobación de Junta Directiva de ANACAFE del Nuevo modelo y plan de implementación,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
GU-M1059ML4,"Tres alianzas bajo el nuevo modelo de soporte comercial de ANACAFE, cada alianza","Tres alianzas bajo el nuevo modelo de soporte comercial de ANACAFE, cada alianza involucra a un tostador",457,Documentos firmados de establecimiento de alianza con corporativos de la cadena de valor,,Project Coordinator,Active,3,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
GU-M1059ML5,"Sistematización de mejores prácticas, segunda versión de metodología de crédito","Sistematización de mejores prácticas, segunda versión de metodología de crédito incluyendo seguro agrícola y uso de garantías",731,Informe de segunda versión aprobado por Comité Coordinador y FENACOAC,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
GU-M1059ML6,Plan estratégico de escala y réplica de la metodología de financiamiento estruct,Plan estratégico de escala y réplica de la metodología de financiamiento estructurado para el sector café,852,"Plan estratégico formulado y validado por FOMIN, aprobación de la Junta Directiva de ANACAFE",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
GU-M1059ML7,Plan estratégico de sostenibilidad del nuevo modelo de apoyo en gestión comercia,Plan estratégico de sostenibilidad del nuevo modelo de apoyo en gestión comercial de ANACAFE a caficultores,852,"Plan estratégico formulado y validado por FOMIN, aprobación de la Junta Directiva de ANACAFE",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
GU-M1059ML8,Plan estratégico de sostenibilidad del nuevo modelo de asistencia técnica de ANA,Plan estratégico de sostenibilidad del nuevo modelo de asistencia técnica de ANACAFE Integrando las capacidades y lecciones desarrolladas en el proyecto,852,"Plan estratégico formulado y validado por FOMIN, aprobación de la Junta Directiva de ANACAFE",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
GU-T1280ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
GU-T1302ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
GY-T1143ML1,Conditions Prior,Conditions Prior,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
GY-T1150ML1,Conditions Prior,Conditions Prior,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
GY-T1159ML1,Conditions Prior,Conditions Prior,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1010ML1,Conditions Prior,Conditions Prior,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1011ML1,Conditions Prior,Conditions Prior,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1012ML1,Conditions Prior,Conditions Prior,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1017ML1,Conditions Prior,Conditions Prior,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1017ML2,3 workplans developed,3 workplans developed,180,Operational document,,Project Coordinator,Active,3,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1017ML3,Recycled material sold.,Recycled material sold.,365,Operational document.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1017ML4,20 micro enterprises created.,20 micro enterprises created.,548,Course completion certificates.,,Project Coordinator,Active,20,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1017ML5,Compost site created.,Compost site created.,731,Operational document.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1017ML6,Compost produced and sold.,Compost produced and sold.,731,Operational document.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1017ML7,PPP model developed.,PPP model developed.,731,PPP contract document.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1017ML8,3 workplans developed,3 workplans developed,240,Operational document,,Project Coordinator,Active,3,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1020ML1,Conditions Prior,Conditions Prior,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1020ML10,"Montant cumulé financé en USD par ZAFEN (don, et prêts)","Montant cumulé financé en USD par ZAFEN (don, et prêts)",365,Rapport sur ZAFEN,,Project Coordinator,Active,75000,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1020ML11,"Montant cumulé financé en USD par ZAFEN (don, et prêts)","Montant cumulé financé en USD par ZAFEN (don, et prêts)",545,Rapport sur ZAFEN,,Project Coordinator,Active,100000,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1020ML12,"Montant cumulé financé en USD par ZAFEN (don, et prêts)","Montant cumulé financé en USD par ZAFEN (don, et prêts)",730,Rapport sur ZAFEN,,Project Coordinator,Active,200000,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1020ML13,"Montant cumulé financé en USD par ZAFEN (don, et prêts)","Montant cumulé financé en USD par ZAFEN (don, et prêts)",910,Rapport sur ZAFEN,,Project Coordinator,Active,400000,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1020ML14,"Montant cumulé financé en USD par ZAFEN (don, et prêts)","Montant cumulé financé en USD par ZAFEN (don, et prêts)",1090,Rapport sur ZAFEN,,Project Coordinator,Active,600000,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1020ML15,Nombre total de titulaires de cartes acquises,Nombre total de titulaires de cartes acquises,730,Liste des titulaires de carte,,Project Coordinator,Active,500,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1020ML16,Nombre total de titulaires de cartes acquises,Nombre total de titulaires de cartes acquises,910,Liste des titulaires de carte,,Project Coordinator,Active,600,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1020ML17,Nombre  total de compte d’investissement ouvert,Nombre  total de compte d’investissement ouvert,730,Liste des titulaires de carte,,Project Coordinator,Active,400,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1020ML18,Nombre  total de compte d’investissement ouvert,Nombre  total de compte d’investissement ouvert,910,Liste des titulaires de carte,,Project Coordinator,Active,1000,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1020ML19,Nombre  total de compte d’investissement ouvert,Nombre  total de compte d’investissement ouvert,1090,Rapport sur l'état des comptes d'investissement,,Project Coordinator,Active,2000,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1020ML2,Rapport de ligne de base est complet,Rapport de ligne de base est complet,365,...,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1020ML20,Une augmentation du volume total des fonds transmis par le biais de dépôts aux c,Une augmentation du volume total des fonds transmis par le biais de dépôts aux comptes d’investissement de Fonkoze.,730,Rapport sur l'état des comptes d'investissement,,Project Coordinator,Active,10,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1020ML21,Une augmentation du volume total des fonds transmis par le biais de dépôts aux c,Une augmentation du volume total des fonds transmis par le biais de dépôts aux comptes d’investissement de Fonkoze.,910,Rapport sur l'état des comptes d'investissement,,Project Coordinator,Active,15,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1020ML3,Stratégie de mécanisme alternatif de supervision,Stratégie de mécanisme alternatif de supervision,1095,Document de stratégie,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1020ML4,La stratégie de marketing disponible et validée par le conseil d’administration,La stratégie de marketing disponible et validée par le conseil d’administration de Fonkoze,365,Rapport sur la stratégie marketing,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1020ML5,Nombre cumulé de projets intégrés sur le site Web de ZAFEN,Nombre cumulé de projets intégrés sur le site Web de ZAFEN,365,Rapport du strategie media,,Project Coordinator,Active,25,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1020ML6,Nombre cumulé de projets intégrés sur le site Web de ZAFEN,Nombre cumulé de projets intégrés sur le site Web de ZAFEN,545,Document de projet,,Project Coordinator,Active,50,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1020ML7,Nombre cumulé de projets intégrés sur le site Web de ZAFEN,Nombre cumulé de projets intégrés sur le site Web de ZAFEN,730,Document de projet,,Project Coordinator,Active,150,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1020ML8,Nombre cumulé de projets intégrés sur le site Web de ZAFEN,Nombre cumulé de projets intégrés sur le site Web de ZAFEN,724,Rapport sur ZAFEN,,Project Coordinator,Active,300,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1020ML9,Nombre cumulé de projets intégrés sur le site Web de ZAFEN,Nombre cumulé de projets intégrés sur le site Web de ZAFEN,1095,Rapport sur ZAFEN,,Project Coordinator,Active,500,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1021ML1,Conditions Prior,Conditions Prior,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1021ML10,Résultats de l’exercice 2009/2010 : Résultat d’exploitation (en % du CA),Résultats de l’exercice 2009/2010 : Résultat d’exploitation (en % du CA),548,Bilan et compte de résultat Factures clients,,Project Coordinator,Active,15,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1021ML11,Résultats de l’exercice 2009/2010 : Prix de vente moyen (USD),Résultats de l’exercice 2009/2010 : Prix de vente moyen (USD),548,Bilan et compte de résultat Factures clients,,Project Coordinator,Active,2,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1021ML12,Résultats de l’exercice 2009/2010 : Nombre de conteneurs exportés,Résultats de l’exercice 2009/2010 : Nombre de conteneurs exportés,548,Bilan et compte de résultat Factures clients,,Project Coordinator,Active,7,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1021ML13,Résultats de la campagne 2010/2011 : Ratio livres parche/marmites cerises,Résultats de la campagne 2010/2011 : Ratio livres parche/marmites cerises,731,Directeur COOPCAB,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1021ML14,Résultats de la campagne 2010/2011 : Taux triage,Résultats de la campagne 2010/2011 : Taux triage,731,Directeur COOPCAB,,Project Coordinator,Active,10,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1021ML15,Résultats de l’exercice 2010/2011 : CA (millions de gourdes),Résultats de l’exercice 2010/2011 : CA (millions de gourdes),913,Etats financiers audité Factures clients s,,Project Coordinator,Active,30,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1021ML16,Résultats de l’exercice 2010/2011 : Résultat d’exploitation (en % du CA),Résultats de l’exercice 2010/2011 : Résultat d’exploitation (en % du CA),913,Etats financiers audité Factures clients s,,Project Coordinator,Active,15,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1021ML17,Résultats de l’exercice 2010/2011 : Prix de vente moyen (USD),Résultats de l’exercice 2010/2011 : Prix de vente moyen (USD),913,Etats financiers audité Factures clients s,,Project Coordinator,Active,3,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1021ML18,Résultats de l’exercice 2010/2011 : Nombre de conteneurs exportés,Résultats de l’exercice 2010/2011 : Nombre de conteneurs exportés,913,Etats financiers audité Factures clients s,,Project Coordinator,Active,8,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1021ML2,Rapport de diagnostic de gestion comptable,Rapport de diagnostic de gestion comptable,183,"Rapports, documents, manuels et plans tels que décrits",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1021ML3,Document de stratégie d’entreprise,Document de stratégie d’entreprise,183,"Rapports, documents, manuels et plans tels que décrits",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1021ML4,Document du système de contrôle de qualité et le système de gestion des flux,Document du système de contrôle de qualité et le système de gestion des flux,183,"Rapports, documents, manuels et plans tels que décrits",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1021ML5,Manuel de procédures et d’outils de gestion,Manuel de procédures et d’outils de gestion,183,"Rapports, documents, manuels et plans tels que décrits",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1021ML6,"Plan de formation en gestion comptable, des flux, de la qualité","Plan de formation en gestion comptable, des flux, de la qualité",183,"Rapports, documents, manuels et plans tels que décrits",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1021ML7,Résultats de la campagne 2009/2010 : Ratio livres parche/marmites cerises,Résultats de la campagne 2009/2010 : Ratio livres parche/marmites cerises,365,Rapport de campagne 2009/2010,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1021ML8,Résultats de la campagne 2009/2010 : Taux triage,Résultats de la campagne 2009/2010 : Taux triage,365,Rapport de campagne 2009/2010,,Project Coordinator,Active,15,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1021ML9,Résultats de l’exercice 2009/2010 : CA (millions de gourdes),Résultats de l’exercice 2009/2010 : CA (millions de gourdes),548,Bilan et compte de résultat Factures clients,,Project Coordinator,Active,25,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1022ML1,Conditions Prior,Conditions Prior,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1023ML1,Conditions Prior,Conditions Prior,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1023ML10,Pourcentage de la Contribution à décaisser.,Pourcentage de la Contribution à décaisser.,244,...,,Project Coordinator,Active,15,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1023ML11,Pourcentage de la Contribution à décaisser.,Pourcentage de la Contribution à décaisser.,244,...,,Project Coordinator,Active,15,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1023ML2,Nombre d’idées d’entreprise identifiées et répartition géographique des candidat,Nombre d’idées d’entreprise identifiées et répartition géographique des candidats au concours (au moins 50% en province).,183,List des personnes inscrites au concours. Site Web. du concours.,,Project Coordinator,Active,150,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1023ML3,Liste des membres du comité d’organisation composé de représentants de Quisquéya,"Liste des membres du comité d’organisation composé de représentants de Quisquéya, TNS, du secteur des affaires.",183,Document présentant le comité de sélection et prouvant que les membres ont accepté d’en faire parti.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1023ML4,Nombre d’entrepreneurs formés en gestion d’entreprise,Nombre d’entrepreneurs formés en gestion d’entreprise,244,Liste des participants aux formations et programme de formation.,,Project Coordinator,Active,60,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1023ML5,Nombre de plans d’affaires finaux élaborés par les postulants.,Nombre de plans d’affaires finaux élaborés par les postulants.,244,Les plans d’affaires élaborés par les postulants avec l’aide de TNS et  transmis au coordonnateur  du projet.,,Project Coordinator,Active,45,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1023ML6,Nombre de plans d’affaires récompensés avec un capital initial de $5.000-$10.000,Nombre de plans d’affaires récompensés avec un capital initial de $5.000-$10.000,304,Liste des candidats sélectionnés pour recevoir les récompenses.,,Project Coordinator,Active,10,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1023ML7,Nombre d’entreprises enregistrées,Nombre d’entreprises enregistrées,304,Document légaux des entreprises.,,Project Coordinator,Active,3,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1023ML8,Pourcentage de la Contribution à décaisser.,Pourcentage de la Contribution à décaisser.,30,...,,Project Coordinator,Active,20,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1023ML9,Pourcentage de la Contribution à décaisser.,Pourcentage de la Contribution à décaisser.,183,...,,Project Coordinator,Active,50,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1024ML1,Conditions Prior,Conditions Prior,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1032ML1,Conditions Prior,Conditions Prior,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1032ML2,Present the environmental and social assessment as well as the results from the,Present the environmental and social assessment as well as the results from the gap analysis,121,"Consultants contracts, minutes of their work, mid term reports, terms os reference for the consultancies",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1032ML3,"Technical reports on soil leveling, debris removal and clean-up","Technical reports on soil leveling, debris removal and clean-up",304,"Terms of reference for contracting consultants, reports from consultants, visits from the MIF specialist, photographs from the site, etc",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1032ML4,First batch of 125 beneficiaries trained and building a house,First batch of 125 beneficiaries trained and building a house,395,"List of trainees, reports of materials used, list of beneficiaries working daily, reports from the HRCs, etc.",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1032ML5,Second batch of 125 beneficiaries trained and building their houses,Second batch of 125 beneficiaries trained and building their houses,487,Same as previous,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1032ML6,Third batch of 125 beneficiaries trained and building their houses plus first gr,Third batch of 125 beneficiaries trained and building their houses plus first group pf beneficiaries visiting other similar programs,578,"Same as previous regarding the beneficiaries buiding houses. Reports on selection of beenficiaries selected by the technical team and community, minutes of negotiations with other NGOs, evaluation of the beneficiaries.",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1032ML7,Fourth batch of 125 beneficiaries trained and building their houses,Fourth batch of 125 beneficiaries trained and building their houses,639,Same as previous,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1032ML8,Workshop on lessons learned,Workshop on lessons learned,731,"Minutes of planification, contracts for speakers, mid-term evaluation, etc.",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1035ML1,Conditions Prior,Conditions Prior,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1035ML10,Cumulative Number of youth who established Individual Development Accounts (IDA),Cumulative Number of youth who established Individual Development Accounts (IDA).,1302,Individual Development Accounts (IDA),,Project Coordinator,Active,4000,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1035ML11,Number of youth who maintained membership in small scale savings groups,Number of youth who maintained membership in small scale savings groups,1302,List of small scale savings group members,,Project Coordinator,Active,5000,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
HA-M1035ML12,Cumulative number of Ecole atelier  that established an  income generating socia,Cumulative number of Ecole atelier  that established an  income generating social enterprise that provides sufficient revenue to cover 50% of operating costs and provide a margin of contribution to core training center operational costs at the end of the,1302,Financial statement of training centers that established an income generating social enterprise.,,Project Coordinator,Active,12,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
